Dataset: cifar100
100%|██████████████████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 47.7MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  4%|███▍                                                                              | 2/48 [00:05<01:58,  2.57s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
🧮 Accumulative batch loss at batch idx 0 for DCL model: 8.403122901916504
🧮 Accumulative batch loss at batch idx 0 for NSCL model: 8.392017364501953
🧮 Accumulative batch loss at batch idx 0 for SCL model: 8.771510124206543
🧮 Accumulative batch loss at batch idx 1 for DCL model: 16.74514675140381
🧮 Accumulative batch loss at batch idx 1 for NSCL model: 16.722213745117188
🧮 Accumulative batch loss at batch idx 1 for SCL model: 17.54850673675537
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha = 1) (Triggered internally at /pytorch/torch/csrc/utils/python_arg_parser.cpp:1691.)
  next_v.mul_(momentum).add_(scaled_lr, grad)
🧮 Accumulative batch loss at batch idx 2 for DCL model: 25.210877418518066
🧮 Accumulative batch loss at batch idx 2 for NSCL model: 25.1760892868042
🧮 Accumulative batch loss at batch idx 2 for SCL model: 26.32457447052002
 27%|█████████████████████▉                                                           | 13/48 [00:19<00:42,  1.23s/it]
🧮 Accumulative batch loss at batch idx 3 for DCL model: 33.638628005981445
🧮 Accumulative batch loss at batch idx 3 for NSCL model: 33.59203815460205
🧮 Accumulative batch loss at batch idx 3 for SCL model: 34.92863178253174
🧮 Accumulative batch loss at batch idx 4 for DCL model: 41.89355182647705
🧮 Accumulative batch loss at batch idx 4 for NSCL model: 41.835604667663574
🧮 Accumulative batch loss at batch idx 4 for SCL model: 43.35610294342041
🧮 Accumulative batch loss at batch idx 5 for DCL model: 50.27052974700928
🧮 Accumulative batch loss at batch idx 5 for NSCL model: 50.2029447555542
🧮 Accumulative batch loss at batch idx 5 for SCL model: 51.661415100097656
🧮 Accumulative batch loss at batch idx 6 for DCL model: 58.38678741455078
🧮 Accumulative batch loss at batch idx 6 for NSCL model: 58.29759693145752
🧮 Accumulative batch loss at batch idx 6 for SCL model: 59.89146614074707
🧮 Accumulative batch loss at batch idx 7 for DCL model: 66.42024803161621
🧮 Accumulative batch loss at batch idx 7 for NSCL model: 66.30669784545898
🧮 Accumulative batch loss at batch idx 7 for SCL model: 68.08460521697998
🧮 Accumulative batch loss at batch idx 8 for DCL model: 74.44672203063965
🧮 Accumulative batch loss at batch idx 8 for NSCL model: 74.30012798309326
🧮 Accumulative batch loss at batch idx 8 for SCL model: 76.251296043396
🧮 Accumulative batch loss at batch idx 9 for DCL model: 82.4351396560669
🧮 Accumulative batch loss at batch idx 9 for NSCL model: 82.25813961029053
🧮 Accumulative batch loss at batch idx 9 for SCL model: 84.37986660003662
