Dataset: cifar100
100%|████████████████████████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 48.4MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  4%|███▋                                                                                    | 2/48 [00:05<01:59,  2.60s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
🧮 Accumulative batch loss at batch idx 0 for DCL model: 8.502685546875
🧮 Accumulative batch loss at batch idx 0 for NSCL model: 8.490962982177734
🧮 Accumulative batch loss at batch idx 0 for SCL model: 8.983613967895508
🧮 Accumulative batch loss at batch idx 1 for DCL model: 17.061050415039062
🧮 Accumulative batch loss at batch idx 1 for NSCL model: 17.038105010986328
🧮 Accumulative batch loss at batch idx 1 for SCL model: 18.017438888549805
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha = 1) (Triggered internally at /pytorch/torch/csrc/utils/python_arg_parser.cpp:1691.)
  next_v.mul_(momentum).add_(scaled_lr, grad)
🧮 Accumulative batch loss at batch idx 2 for DCL model: 25.58706760406494
🧮 Accumulative batch loss at batch idx 2 for NSCL model: 25.552390098571777
🧮 Accumulative batch loss at batch idx 2 for SCL model: 27.01516819000244
 27%|███████████████████████▌                                                               | 13/48 [00:19<00:42,  1.21s/it]
🧮 Accumulative batch loss at batch idx 3 for DCL model: 34.33178901672363
🧮 Accumulative batch loss at batch idx 3 for NSCL model: 34.286545753479004
🧮 Accumulative batch loss at batch idx 3 for SCL model: 35.959760665893555
🧮 Accumulative batch loss at batch idx 4 for DCL model: 42.81856632232666
🧮 Accumulative batch loss at batch idx 4 for NSCL model: 42.76210308074951
🧮 Accumulative batch loss at batch idx 4 for SCL model: 44.54600715637207
🧮 Accumulative batch loss at batch idx 5 for DCL model: 51.164958000183105
🧮 Accumulative batch loss at batch idx 5 for NSCL model: 51.097628593444824
🧮 Accumulative batch loss at batch idx 5 for SCL model: 52.90030479431152
🧮 Accumulative batch loss at batch idx 6 for DCL model: 59.460455894470215
🧮 Accumulative batch loss at batch idx 6 for NSCL model: 59.37979602813721
🧮 Accumulative batch loss at batch idx 6 for SCL model: 61.18426704406738
🧮 Accumulative batch loss at batch idx 7 for DCL model: 67.53178119659424
🧮 Accumulative batch loss at batch idx 7 for NSCL model: 67.43689250946045
🧮 Accumulative batch loss at batch idx 7 for SCL model: 69.50448799133301
🧮 Accumulative batch loss at batch idx 8 for DCL model: 75.59796333312988
🧮 Accumulative batch loss at batch idx 8 for NSCL model: 75.5158281326294
🧮 Accumulative batch loss at batch idx 8 for SCL model: 77.7378396987915
🧮 Accumulative batch loss at batch idx 9 for DCL model: 83.58973979949951
🧮 Accumulative batch loss at batch idx 9 for NSCL model: 83.49015426635742
🧮 Accumulative batch loss at batch idx 9 for SCL model: 85.9527177810669
🧮 Accumulative batch loss at batch idx 10 for DCL model: 91.59600162506104
🧮 Accumulative batch loss at batch idx 10 for NSCL model: 91.49499988555908
🧮 Accumulative batch loss at batch idx 10 for SCL model: 94.11264419555664
🧮 Accumulative batch loss at batch idx 11 for DCL model: 99.62091732025146
🧮 Accumulative batch loss at batch idx 11 for NSCL model: 99.48746347427368
🧮 Accumulative batch loss at batch idx 11 for SCL model: 102.25461769104004
🧮 Accumulative batch loss at batch idx 12 for DCL model: 107.56564664840698
🧮 Accumulative batch loss at batch idx 12 for NSCL model: 107.40424680709839
🧮 Accumulative batch loss at batch idx 12 for SCL model: 110.39370250701904
🧮 Accumulative batch loss at batch idx 13 for DCL model: 115.4913477897644
🧮 Accumulative batch loss at batch idx 13 for NSCL model: 115.35637617111206
🧮 Accumulative batch loss at batch idx 13 for SCL model: 118.51612377166748
🧮 Accumulative batch loss at batch idx 14 for DCL model: 123.45301103591919
🧮 Accumulative batch loss at batch idx 14 for NSCL model: 123.28429508209229
