Dataset: cifar100
100%|████████████████████████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 49.5MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  6%|█████▌                                                                                  | 3/48 [00:07<01:27,  1.94s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
🧮 Accumulative batch loss at batch idx 0 for DCL model: 8.489505767822266
🧮 Accumulative batch loss at batch idx 0 for NSCL model: 8.47769546508789
🧮 Accumulative batch loss at batch idx 0 for SCL model: 8.991080284118652
🧮 Accumulative batch loss at batch idx 1 for DCL model: 16.90797519683838
🧮 Accumulative batch loss at batch idx 1 for NSCL model: 16.88510036468506
🧮 Accumulative batch loss at batch idx 1 for SCL model: 17.948628425598145
🧮 Accumulative batch loss at batch idx 2 for DCL model: 25.47225856781006
🧮 Accumulative batch loss at batch idx 2 for NSCL model: 25.438413619995117
🧮 Accumulative batch loss at batch idx 2 for SCL model: 26.935412406921387
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha = 1) (Triggered internally at /pytorch/torch/csrc/utils/python_arg_parser.cpp:1691.)
  next_v.mul_(momentum).add_(scaled_lr, grad)
🧮 Accumulative batch loss at batch idx 3 for DCL model: 33.94135761260986
🧮 Accumulative batch loss at batch idx 3 for NSCL model: 33.896677017211914
🧮 Accumulative batch loss at batch idx 3 for SCL model: 35.87138843536377
 29%|█████████████████████████▍                                                             | 14/48 [00:20<00:41,  1.21s/it]
🧮 Accumulative batch loss at batch idx 4 for DCL model: 42.39949131011963
🧮 Accumulative batch loss at batch idx 4 for NSCL model: 42.343223571777344
🧮 Accumulative batch loss at batch idx 4 for SCL model: 44.66517734527588
🧮 Accumulative batch loss at batch idx 5 for DCL model: 50.829012870788574
🧮 Accumulative batch loss at batch idx 5 for NSCL model: 50.761606216430664
🧮 Accumulative batch loss at batch idx 5 for SCL model: 53.175808906555176
🧮 Accumulative batch loss at batch idx 6 for DCL model: 59.04721546173096
🧮 Accumulative batch loss at batch idx 6 for NSCL model: 58.965118408203125
🧮 Accumulative batch loss at batch idx 6 for SCL model: 61.57585048675537
🧮 Accumulative batch loss at batch idx 7 for DCL model: 67.2268762588501
