Dataset: cifar100
100%|████████████████████████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 49.2MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  4%|███▋                                                                                    | 2/48 [00:05<02:02,  2.66s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
🧮 Accumulative batch loss at batch idx 0 for DCL model: 8.529077529907227
🧮 Accumulative batch loss at batch idx 0 for NSCL model: 8.517877578735352
🧮 Accumulative batch loss at batch idx 0 for SCL model: 9.03375244140625
🧮 Accumulative batch loss at batch idx 1 for DCL model: 16.991991996765137
🧮 Accumulative batch loss at batch idx 1 for NSCL model: 16.96945571899414
🧮 Accumulative batch loss at batch idx 1 for SCL model: 18.05855941772461
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha = 1) (Triggered internally at /pytorch/torch/csrc/utils/python_arg_parser.cpp:1691.)
  next_v.mul_(momentum).add_(scaled_lr, grad)
🧮 Accumulative batch loss at batch idx 2 for DCL model: 25.59730052947998
🧮 Accumulative batch loss at batch idx 2 for NSCL model: 25.5634822845459
🧮 Accumulative batch loss at batch idx 2 for SCL model: 27.131651878356934
 27%|███████████████████████▌                                                               | 13/48 [00:19<00:43,  1.24s/it]
🧮 Accumulative batch loss at batch idx 3 for DCL model: 34.15073299407959
🧮 Accumulative batch loss at batch idx 3 for NSCL model: 34.10581398010254
🧮 Accumulative batch loss at batch idx 3 for SCL model: 36.023847579956055
🧮 Accumulative batch loss at batch idx 4 for DCL model: 42.61921405792236
🧮 Accumulative batch loss at batch idx 4 for NSCL model: 42.56548500061035
🧮 Accumulative batch loss at batch idx 4 for SCL model: 44.58909511566162
🧮 Accumulative batch loss at batch idx 5 for DCL model: 51.055747985839844
🧮 Accumulative batch loss at batch idx 5 for NSCL model: 50.841246604919434
🧮 Accumulative batch loss at batch idx 5 for SCL model: 52.98616886138916
🧮 Accumulative batch loss at batch idx 6 for DCL model: 59.484100341796875
🧮 Accumulative batch loss at batch idx 6 for NSCL model: 59.11291313171387
🧮 Accumulative batch loss at batch idx 6 for SCL model: 61.32606601715088
🧮 Accumulative batch loss at batch idx 7 for DCL model: 67.62676239013672
🧮 Accumulative batch loss at batch idx 7 for NSCL model: 67.15342998504639
🧮 Accumulative batch loss at batch idx 7 for SCL model: 69.58517074584961
🧮 Accumulative batch loss at batch idx 8 for DCL model: 75.69414138793945
🧮 Accumulative batch loss at batch idx 8 for NSCL model: 75.22048664093018
🧮 Accumulative batch loss at batch idx 8 for SCL model: 77.79444313049316
🧮 Accumulative batch loss at batch idx 9 for DCL model: 83.69654750823975
🧮 Accumulative batch loss at batch idx 9 for NSCL model: 83.2172327041626
🧮 Accumulative batch loss at batch idx 9 for SCL model: 85.97197914123535
🧮 Accumulative batch loss at batch idx 10 for DCL model: 91.73834228515625
🧮 Accumulative batch loss at batch idx 10 for NSCL model: 91.23040199279785
🧮 Accumulative batch loss at batch idx 10 for SCL model: 94.1252851486206
🧮 Accumulative batch loss at batch idx 11 for DCL model: 99.78000068664551
🧮 Accumulative batch loss at batch idx 11 for NSCL model: 99.251708984375
🧮 Accumulative batch loss at batch idx 11 for SCL model: 102.2693452835083
🧮 Accumulative batch loss at batch idx 12 for DCL model: 107.78015899658203
🧮 Accumulative batch loss at batch idx 12 for NSCL model: 107.22508907318115
🧮 Accumulative batch loss at batch idx 12 for SCL model: 110.38686275482178
🧮 Accumulative batch loss at batch idx 13 for DCL model: 115.72304201126099
🧮 Accumulative batch loss at batch idx 13 for NSCL model: 115.16149091720581
🧮 Accumulative batch loss at batch idx 13 for SCL model: 118.48954677581787
🧮 Accumulative batch loss at batch idx 14 for DCL model: 123.6546401977539
🧮 Accumulative batch loss at batch idx 14 for NSCL model: 123.07896327972412
🧮 Accumulative batch loss at batch idx 14 for SCL model: 126.58733367919922
🧮 Accumulative batch loss at batch idx 15 for DCL model: 131.5490198135376
🧮 Accumulative batch loss at batch idx 15 for NSCL model: 131.0074462890625
🧮 Accumulative batch loss at batch idx 15 for SCL model: 134.6819362640381
🧮 Accumulative batch loss at batch idx 16 for DCL model: 139.4995527267456
🧮 Accumulative batch loss at batch idx 16 for NSCL model: 138.9485206604004
🧮 Accumulative batch loss at batch idx 16 for SCL model: 142.77719116210938
🧮 Accumulative batch loss at batch idx 17 for DCL model: 147.36144351959229
🧮 Accumulative batch loss at batch idx 17 for NSCL model: 146.80049324035645
🧮 Accumulative batch loss at batch idx 17 for SCL model: 150.84892654418945
🧮 Accumulative batch loss at batch idx 18 for DCL model: 155.26347970962524
🧮 Accumulative batch loss at batch idx 18 for NSCL model: 154.7178773880005
🧮 Accumulative batch loss at batch idx 18 for SCL model: 158.9226779937744
🧮 Accumulative batch loss at batch idx 19 for DCL model: 163.15330982208252
