Dataset: cifar100
100%|████████████████████████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 48.9MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  4%|███▋                                                                                    | 2/48 [00:06<02:07,  2.77s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
🧮 Accumulative batch loss at batch idx 0 for DCL model: 8.341262817382812
🧮 Accumulative batch loss at batch idx 0 for NSCL model: 8.329541206359863
🧮 Accumulative batch loss at batch idx 0 for SCL model: 8.708776473999023
🧮 Accumulative batch loss at batch idx 1 for DCL model: 16.719694137573242
🧮 Accumulative batch loss at batch idx 1 for NSCL model: 16.695894241333008
🧮 Accumulative batch loss at batch idx 1 for SCL model: 17.473285675048828
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha = 1) (Triggered internally at /pytorch/torch/csrc/utils/python_arg_parser.cpp:1691.)
  next_v.mul_(momentum).add_(scaled_lr, grad)
🧮 Accumulative batch loss at batch idx 2 for DCL model: 25.23470687866211
🧮 Accumulative batch loss at batch idx 2 for NSCL model: 25.19935703277588
🧮 Accumulative batch loss at batch idx 2 for SCL model: 26.277234077453613
 27%|███████████████████████▌                                                               | 13/48 [00:19<00:42,  1.23s/it]
🧮 Accumulative batch loss at batch idx 3 for DCL model: 33.63197040557861
🧮 Accumulative batch loss at batch idx 3 for NSCL model: 33.58477973937988
🧮 Accumulative batch loss at batch idx 3 for SCL model: 34.935157775878906
🧮 Accumulative batch loss at batch idx 4 for DCL model: 41.98422908782959
🧮 Accumulative batch loss at batch idx 4 for NSCL model: 41.92594337463379
🧮 Accumulative batch loss at batch idx 4 for SCL model: 43.40277671813965
🧮 Accumulative batch loss at batch idx 5 for DCL model: 50.351731300354004
🧮 Accumulative batch loss at batch idx 5 for NSCL model: 50.283979415893555
🧮 Accumulative batch loss at batch idx 5 for SCL model: 51.70152473449707
🧮 Accumulative batch loss at batch idx 6 for DCL model: 58.46200466156006
🧮 Accumulative batch loss at batch idx 6 for NSCL model: 58.387184143066406
🧮 Accumulative batch loss at batch idx 6 for SCL model: 59.89741039276123
🧮 Accumulative batch loss at batch idx 7 for DCL model: 66.51848125457764
🧮 Accumulative batch loss at batch idx 7 for NSCL model: 66.42241477966309
🧮 Accumulative batch loss at batch idx 7 for SCL model: 68.07636451721191
🧮 Accumulative batch loss at batch idx 8 for DCL model: 74.650634765625
🧮 Accumulative batch loss at batch idx 8 for NSCL model: 74.49994850158691
🧮 Accumulative batch loss at batch idx 8 for SCL model: 76.24206829071045
🧮 Accumulative batch loss at batch idx 9 for DCL model: 82.60715293884277
🧮 Accumulative batch loss at batch idx 9 for NSCL model: 82.39767551422119
🧮 Accumulative batch loss at batch idx 9 for SCL model: 84.38189029693604
🧮 Accumulative batch loss at batch idx 10 for DCL model: 90.54088926315308
🧮 Accumulative batch loss at batch idx 10 for NSCL model: 90.34030818939209
🧮 Accumulative batch loss at batch idx 10 for SCL model: 92.5031156539917
🧮 Accumulative batch loss at batch idx 11 for DCL model: 98.53236484527588
🧮 Accumulative batch loss at batch idx 11 for NSCL model: 98.32431650161743
🧮 Accumulative batch loss at batch idx 11 for SCL model: 100.5975923538208
🧮 Accumulative batch loss at batch idx 12 for DCL model: 106.55227756500244
🧮 Accumulative batch loss at batch idx 12 for NSCL model: 106.284508228302
🧮 Accumulative batch loss at batch idx 12 for SCL model: 108.69083786010742
🧮 Accumulative batch loss at batch idx 13 for DCL model: 114.49668312072754
🧮 Accumulative batch loss at batch idx 13 for NSCL model: 114.1595721244812
🧮 Accumulative batch loss at batch idx 13 for SCL model: 116.7672176361084
🧮 Accumulative batch loss at batch idx 14 for DCL model: 122.41732978820801
🧮 Accumulative batch loss at batch idx 14 for NSCL model: 122.03179788589478
🧮 Accumulative batch loss at batch idx 14 for SCL model: 124.8573989868164
🧮 Accumulative batch loss at batch idx 15 for DCL model: 130.36580085754395
🧮 Accumulative batch loss at batch idx 15 for NSCL model: 129.9248809814453
🧮 Accumulative batch loss at batch idx 15 for SCL model: 132.94302368164062
🧮 Accumulative batch loss at batch idx 16 for DCL model: 138.29465770721436
🧮 Accumulative batch loss at batch idx 16 for NSCL model: 137.81348419189453
🧮 Accumulative batch loss at batch idx 16 for SCL model: 141.01161289215088
🧮 Accumulative batch loss at batch idx 17 for DCL model: 146.19002866744995
🧮 Accumulative batch loss at batch idx 17 for NSCL model: 145.6825351715088
🧮 Accumulative batch loss at batch idx 17 for SCL model: 149.07874202728271
🧮 Accumulative batch loss at batch idx 18 for DCL model: 154.02836751937866
