Dataset: cifar100
100%|███████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 49.1MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  6%|████▍                                                                  | 3/48 [00:07<01:27,  1.95s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
🧮 Accumulative batch loss at batch idx 0 for DCL model: 8.225056648254395
🧮 Accumulative batch loss at batch idx 0 for NSCL model: 8.213823318481445
🧮 Accumulative batch loss at batch idx 0 for SCL model: 8.671455383300781
🧮 Accumulative batch loss at batch idx 1 for DCL model: 16.46724796295166
🧮 Accumulative batch loss at batch idx 1 for NSCL model: 16.443449020385742
🧮 Accumulative batch loss at batch idx 1 for SCL model: 17.358810424804688
🧮 Accumulative batch loss at batch idx 2 for DCL model: 24.841679573059082
🧮 Accumulative batch loss at batch idx 2 for NSCL model: 24.806568145751953
🧮 Accumulative batch loss at batch idx 2 for SCL model: 26.08692169189453
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha = 1) (Triggered internally at /pytorch/torch/csrc/utils/python_arg_parser.cpp:1691.)
  next_v.mul_(momentum).add_(scaled_lr, grad)
🧮 Accumulative batch loss at batch idx 3 for DCL model: 33.08164119720459
🧮 Accumulative batch loss at batch idx 3 for NSCL model: 33.03477191925049
🧮 Accumulative batch loss at batch idx 3 for SCL model: 34.76853656768799
 29%|████████████████████▍                                                 | 14/48 [00:20<00:41,  1.22s/it]
🧮 Accumulative batch loss at batch idx 4 for DCL model: 41.33924198150635
🧮 Accumulative batch loss at batch idx 4 for NSCL model: 41.279903411865234
🧮 Accumulative batch loss at batch idx 4 for SCL model: 43.31553936004639
🧮 Accumulative batch loss at batch idx 5 for DCL model: 49.57962894439697
🧮 Accumulative batch loss at batch idx 5 for NSCL model: 49.51347351074219
🧮 Accumulative batch loss at batch idx 5 for SCL model: 51.67910671234131
🧮 Accumulative batch loss at batch idx 6 for DCL model: 57.66755294799805
🧮 Accumulative batch loss at batch idx 6 for NSCL model: 57.603294372558594
🧮 Accumulative batch loss at batch idx 6 for SCL model: 59.942809104919434
🧮 Accumulative batch loss at batch idx 7 for DCL model: 65.72163105010986
🧮 Accumulative batch loss at batch idx 7 for NSCL model: 65.63502883911133
🧮 Accumulative batch loss at batch idx 7 for SCL model: 68.18356418609619
🧮 Accumulative batch loss at batch idx 8 for DCL model: 73.72036266326904
🧮 Accumulative batch loss at batch idx 8 for NSCL model: 73.65066528320312
🧮 Accumulative batch loss at batch idx 8 for SCL model: 76.35981845855713
🧮 Accumulative batch loss at batch idx 9 for DCL model: 81.69627571105957
🧮 Accumulative batch loss at batch idx 9 for NSCL model: 81.67988395690918
🧮 Accumulative batch loss at batch idx 9 for SCL model: 84.53806495666504
🧮 Accumulative batch loss at batch idx 10 for DCL model: 89.68467378616333
🧮 Accumulative batch loss at batch idx 10 for NSCL model: 89.60494041442871
🧮 Accumulative batch loss at batch idx 10 for SCL model: 92.67252731323242
🧮 Accumulative batch loss at batch idx 11 for DCL model: 97.69924211502075
🧮 Accumulative batch loss at batch idx 11 for NSCL model: 97.58846092224121
🧮 Accumulative batch loss at batch idx 11 for SCL model: 100.79813289642334
🧮 Accumulative batch loss at batch idx 12 for DCL model: 105.63263130187988
🧮 Accumulative batch loss at batch idx 12 for NSCL model: 105.49760150909424
🧮 Accumulative batch loss at batch idx 12 for SCL model: 108.90400981903076
🧮 Accumulative batch loss at batch idx 13 for DCL model: 113.5434799194336
🧮 Accumulative batch loss at batch idx 13 for NSCL model: 113.39712810516357
🧮 Accumulative batch loss at batch idx 13 for SCL model: 116.99147605895996
🧮 Accumulative batch loss at batch idx 14 for DCL model: 121.43224811553955
🧮 Accumulative batch loss at batch idx 14 for NSCL model: 121.31198215484619
🧮 Accumulative batch loss at batch idx 14 for SCL model: 125.0792465209961
🧮 Accumulative batch loss at batch idx 15 for DCL model: 129.41330575942993
🧮 Accumulative batch loss at batch idx 15 for NSCL model: 129.2553210258484
🧮 Accumulative batch loss at batch idx 15 for SCL model: 133.16382789611816
🧮 Accumulative batch loss at batch idx 16 for DCL model: 137.3106780052185
🧮 Accumulative batch loss at batch idx 16 for NSCL model: 137.11201524734497
🧮 Accumulative batch loss at batch idx 16 for SCL model: 141.22442626953125
🧮 Accumulative batch loss at batch idx 17 for DCL model: 145.21412134170532
🧮 Accumulative batch loss at batch idx 17 for NSCL model: 144.9923300743103
🧮 Accumulative batch loss at batch idx 17 for SCL model: 149.30212879180908
🧮 Accumulative batch loss at batch idx 18 for DCL model: 153.1148648262024
🧮 Accumulative batch loss at batch idx 18 for NSCL model: 152.87344408035278
🧮 Accumulative batch loss at batch idx 18 for SCL model: 157.35853099822998
🧮 Accumulative batch loss at batch idx 19 for DCL model: 161.01156949996948
🧮 Accumulative batch loss at batch idx 19 for NSCL model: 160.73520183563232
🧮 Accumulative batch loss at batch idx 19 for SCL model: 165.41046142578125
🧮 Accumulative batch loss at batch idx 20 for DCL model: 168.84454679489136
🧮 Accumulative batch loss at batch idx 20 for NSCL model: 168.56236171722412
🧮 Accumulative batch loss at batch idx 20 for SCL model: 173.4617691040039
🧮 Accumulative batch loss at batch idx 21 for DCL model: 176.6929383277893
🧮 Accumulative batch loss at batch idx 21 for NSCL model: 176.39367294311523
🧮 Accumulative batch loss at batch idx 21 for SCL model: 181.52320289611816
🧮 Accumulative batch loss at batch idx 22 for DCL model: 184.54539155960083
🧮 Accumulative batch loss at batch idx 22 for NSCL model: 184.23606824874878
🧮 Accumulative batch loss at batch idx 22 for SCL model: 189.56836414337158
🧮 Accumulative batch loss at batch idx 23 for DCL model: 192.35901880264282
🧮 Accumulative batch loss at batch idx 23 for NSCL model: 191.97500276565552
🧮 Accumulative batch loss at batch idx 23 for SCL model: 197.59707832336426
🧮 Accumulative batch loss at batch idx 24 for DCL model: 200.155864238739
🧮 Accumulative batch loss at batch idx 24 for NSCL model: 199.78409433364868
🧮 Accumulative batch loss at batch idx 24 for SCL model: 205.61418914794922
🧮 Accumulative batch loss at batch idx 25 for DCL model: 207.95387268066406
🧮 Accumulative batch loss at batch idx 25 for NSCL model: 207.59915685653687
🧮 Accumulative batch loss at batch idx 25 for SCL model: 213.6704444885254
🧮 Accumulative batch loss at batch idx 26 for DCL model: 215.7497968673706
🧮 Accumulative batch loss at batch idx 26 for NSCL model: 215.38218307495117
🧮 Accumulative batch loss at batch idx 26 for SCL model: 221.6926212310791
🧮 Accumulative batch loss at batch idx 27 for DCL model: 223.56368923187256
🧮 Accumulative batch loss at batch idx 27 for NSCL model: 223.16354084014893
🧮 Accumulative batch loss at batch idx 27 for SCL model: 229.72666454315186
🧮 Accumulative batch loss at batch idx 28 for DCL model: 231.32868576049805
🧮 Accumulative batch loss at batch idx 28 for NSCL model: 230.96956062316895
🧮 Accumulative batch loss at batch idx 28 for SCL model: 237.75237274169922
🧮 Accumulative batch loss at batch idx 29 for DCL model: 239.08506870269775
🧮 Accumulative batch loss at batch idx 29 for NSCL model: 238.77483749389648
🧮 Accumulative batch loss at batch idx 29 for SCL model: 245.77978038787842
🧮 Accumulative batch loss at batch idx 30 for DCL model: 246.83541011810303
🧮 Accumulative batch loss at batch idx 30 for NSCL model: 246.48974132537842
🧮 Accumulative batch loss at batch idx 30 for SCL model: 253.81445980072021
🧮 Accumulative batch loss at batch idx 31 for DCL model: 254.595121383667
🧮 Accumulative batch loss at batch idx 31 for NSCL model: 254.19732856750488
🧮 Accumulative batch loss at batch idx 31 for SCL model: 261.8397626876831
🧮 Accumulative batch loss at batch idx 32 for DCL model: 262.35485076904297
🧮 Accumulative batch loss at batch idx 32 for NSCL model: 261.97669553756714
🧮 Accumulative batch loss at batch idx 32 for SCL model: 269.8654451370239
🧮 Accumulative batch loss at batch idx 33 for DCL model: 270.0561800003052
🧮 Accumulative batch loss at batch idx 33 for NSCL model: 269.71339654922485
🧮 Accumulative batch loss at batch idx 33 for SCL model: 277.88836574554443
🧮 Accumulative batch loss at batch idx 34 for DCL model: 277.727587223053
🧮 Accumulative batch loss at batch idx 34 for NSCL model: 277.4196915626526
🧮 Accumulative batch loss at batch idx 34 for SCL model: 285.90843963623047
🧮 Accumulative batch loss at batch idx 35 for DCL model: 285.4280652999878
🧮 Accumulative batch loss at batch idx 35 for NSCL model: 285.15535974502563
🧮 Accumulative batch loss at batch idx 35 for SCL model: 293.921856880188
🧮 Accumulative batch loss at batch idx 36 for DCL model: 293.11900806427
🧮 Accumulative batch loss at batch idx 36 for NSCL model: 292.9365162849426
🧮 Accumulative batch loss at batch idx 36 for SCL model: 301.9429349899292
🧮 Accumulative batch loss at batch idx 37 for DCL model: 300.86749172210693
🧮 Accumulative batch loss at batch idx 37 for NSCL model: 300.68402576446533
🧮 Accumulative batch loss at batch idx 37 for SCL model: 309.94244861602783
🧮 Accumulative batch loss at batch idx 38 for DCL model: 308.6477704048157
🧮 Accumulative batch loss at batch idx 38 for NSCL model: 308.43743419647217
🧮 Accumulative batch loss at batch idx 38 for SCL model: 317.9657964706421
🧮 Accumulative batch loss at batch idx 39 for DCL model: 316.3500461578369
🧮 Accumulative batch loss at batch idx 39 for NSCL model: 316.12928676605225
🧮 Accumulative batch loss at batch idx 39 for SCL model: 325.97650241851807
