Dataset: cifar100
100%|███████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 48.6MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  4%|██▉                                                                    | 2/48 [00:05<02:00,  2.62s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
🧮 Accumulative batch loss at batch idx 0 for DCL model: 8.450325012207031
🧮 Accumulative batch loss at batch idx 0 for NSCL model: 8.439711570739746
🧮 Accumulative batch loss at batch idx 0 for SCL model: 8.822748184204102
🧮 Accumulative batch loss at batch idx 1 for DCL model: 16.857492446899414
🧮 Accumulative batch loss at batch idx 1 for NSCL model: 16.836176872253418
🧮 Accumulative batch loss at batch idx 1 for SCL model: 17.714784622192383
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha = 1) (Triggered internally at /pytorch/torch/csrc/utils/python_arg_parser.cpp:1691.)
  next_v.mul_(momentum).add_(scaled_lr, grad)
🧮 Accumulative batch loss at batch idx 2 for DCL model: 25.331685066223145
🧮 Accumulative batch loss at batch idx 2 for NSCL model: 25.299765586853027
🧮 Accumulative batch loss at batch idx 2 for SCL model: 26.530994415283203
 27%|██████████████████▉                                                   | 13/48 [00:19<00:43,  1.23s/it]
🧮 Accumulative batch loss at batch idx 3 for DCL model: 33.75570869445801
🧮 Accumulative batch loss at batch idx 3 for NSCL model: 33.71334362030029
🧮 Accumulative batch loss at batch idx 3 for SCL model: 35.26894283294678
🧮 Accumulative batch loss at batch idx 4 for DCL model: 42.12987518310547
🧮 Accumulative batch loss at batch idx 4 for NSCL model: 42.07651424407959
🧮 Accumulative batch loss at batch idx 4 for SCL model: 43.73343467712402
🧮 Accumulative batch loss at batch idx 5 for DCL model: 50.43693923950195
🧮 Accumulative batch loss at batch idx 5 for NSCL model: 50.37478733062744
🧮 Accumulative batch loss at batch idx 5 for SCL model: 52.03437519073486
🧮 Accumulative batch loss at batch idx 6 for DCL model: 58.65129375457764
🧮 Accumulative batch loss at batch idx 6 for NSCL model: 58.583210945129395
🧮 Accumulative batch loss at batch idx 6 for SCL model: 60.33556842803955
🧮 Accumulative batch loss at batch idx 7 for DCL model: 66.69340419769287
🧮 Accumulative batch loss at batch idx 7 for NSCL model: 66.6051549911499
🧮 Accumulative batch loss at batch idx 7 for SCL model: 68.57635593414307
🧮 Accumulative batch loss at batch idx 8 for DCL model: 74.76454162597656
